ID,customer_id,country_id,tbl_loan_id,lender_id,loan_type,Total_Amount,Total_Amount_to_Repay,disbursement_date,due_date,duration,New_versus_Repeat,Amount_Funded_By_Lender,Lender_portion_Funded,Lender_portion_to_be_repaid,target
ID_257244237466267278,257244,Kenya,237466,267278,Type_1,16477.0,16642.0,2022-08-15,2022-08-22,7,Repeat Loan,2436.0,0.147842447047399,2460.0,0
ID_249619214444267278,249619,Kenya,214444,267278,Type_1,5599.0,5599.0,2022-07-13,2022-07-20,7,Repeat Loan,2799.5,0.5,2800.0,0
ID_251457257838267278,251457,Kenya,257838,267278,Type_1,4679.0,4746.0,2022-09-12,2022-09-19,7,Repeat Loan,7.8,0.00166702286813421,8.0,0
ID_266224270337267278,266224,Kenya,270337,267278,Type_1,6123.0,6123.0,2022-09-29,2022-10-06,7,Repeat Loan,318.8,0.0520659807284011,319.0,0
ID_250369246185267278,250369,Kenya,246185,267278,Type_1,2953.0,2974.0,2022-08-27,2022-09-03,7,Repeat Loan,15.0,0.00507958008804605,15.0,0
ID_262778277126267278,262778,Kenya,277126,267278,Type_1,17413.0,17413.0,2022-10-07,2022-10-14,7,Repeat Loan,5223.9,0.3,5224.0,0
ID_259611263472267278,259611,Kenya,263472,267278,Type_1,6660.0,6660.0,2022-09-20,2022-09-27,7,Repeat Loan,2.19,0.000328828828828828,2.0,0
ID_261867288216267278,261867,Kenya,288216,267278,Type_1,10465.0,10785.0,2022-10-25,2022-11-01,7,Repeat Loan,599.65,0.0573005255613951,618.0,0
ID_259525247727267278,259525,Kenya,247727,267278,Type_1,6249.0,6249.0,2022-08-30,2022-09-06,7,Repeat Loan,1691.07,0.270614498319731,1691.0,0
ID_251756234445267278,251756,Kenya,234445,267278,Type_1,57853.0,59262.0,2022-08-10,2022-08-17,7,Repeat Loan,17355.9,0.3,17779.0,0
ID_271385279790267278,271385,Kenya,279790,267278,Type_1,4451.0,4451.0,2022-10-11,2022-10-18,7,Repeat Loan,1335.3,0.3,1335.0,0
ID_271305293856267278,271305,Kenya,293856,267278,Type_1,4188.0,4188.0,2022-11-04,2022-11-11,7,Repeat Loan,311.06,0.0742741165234001,311.0,0
ID_270034285918267278,270034,Kenya,285918,267278,Type_1,10137.0,10322.0,2022-10-21,2022-10-28,7,Repeat Loan,3041.1,0.3,3097.0,0
ID_248923229719267278,248923,Kenya,229719,267278,Type_1,2000.0,2074.0,2022-08-01,2022-08-08,7,Repeat Loan,600.0,0.3,622.0,0
